,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
1860,8105,ROCKI,ROCKI,rocki,6,2020-12-24T00:00:00.000Z,"['gaming', 'bnb-chain']",100000000.0,8057237.26,100000000.0,,1862,,,,2022-07-16T22:06:00.000Z,0.034215731643607805,52972.19957027,5.7731,0.10221389,5.52145755,12.18771076,10.07752081,-46.72097618,-71.54746911,275684.26787703787,0.0,3421573.16,,2022-07-16T22:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0xff44b937788215eca197baaf9af69dbdc214aa04
1861,10408,Formation Fi,FORM,formation-fi,16,2021-06-11T00:00:00.000Z,"['injective-ecosystem', 'bnb-chain']",1000000000.0,79753014.899008,1000000000.0,,1864,,,,2022-07-16T22:07:00.000Z,0.003435281409551123,153448.15256387,-25.2515,0.21221002,-6.39910377,-13.53138434,-19.14919507,-47.40344425,-71.82517115,273974.04943821597,0.0,3435281.41,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x21381e026ad6d8266244f2a583b35f9e4413fa2a
1862,14682,EarthFund,1EARTH,earthfund,5,2021-11-17T09:28:15.000Z,[],1000000000.0,72754338.0,1000000000.0,,1863,355976000.0,1340449.9337084836,,2022-07-16T22:07:00.000Z,0.003765562660708822,1304058.19542858,-7.2754,-2.78313509,-1.34105793,-10.12455894,-38.93111081,-64.14002216,-87.50504961,273961.01857738895,0.0,3765562.66,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x9e04f519b094f5f8210441e285f603f4d2b50084
1863,3313,CryptoFlow,CFL,cryptoflow,2,2018-09-18T00:00:00.000Z,"['mineable', 'masternodes']",0.0,92026159.286164,386848901.203368,,1865,1138364300.7715664,3375976.747759971,,2022-07-16T22:06:00.000Z,0.002965638280708367,1164.86260729,-39.5773,0.05696737,8.87291586,-2.41584578,10.28687252,-42.79493126,-17.85441666,272916.30080561375,0.0,1147253.91,,2022-07-16T22:06:00.000Z,,,,,
1864,9491,Smaugs NFT,SMG,smaugs-nft,15,2021-04-29T00:00:00.000Z,"['marketplace', 'collectibles-nfts', 'dapp', 'launchpad', 'bnb-chain']",100000000.0,35000000.0,90000000.0,,1852,,,,2022-07-16T22:06:00.000Z,0.008066724252487398,959.11903127,119.6386,0.29900094,14.08003754,-5.99060599,16.42329482,-29.66090844,-75.50229708,282335.34883705893,0.0,806672.43,,2022-07-16T22:06:00.000Z,1839.0,BNB,BNB,bnb,0x6bfd576220e8444ca4cc5f89efbd7f02a4c94c16
1865,3953,Evedo,EVED,evedo,3,2019-05-21T00:00:00.000Z,[],17756589.0,14672017.46696576,17756589.687825,,1866,,,,2022-07-16T22:06:00.000Z,0.018513906666124985,0.0,0.0,0.08226374,7.03673973,-3.12143898,6.49245638,-60.26743858,-71.40605247,271636.3619871596,0.0,328743.83,,2022-07-16T22:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5aaefe84e0fb3dd1f0fcff6fa7468124986b91bd
1866,10949,Baanx,BXX,baanx,4,2021-07-19T00:00:00.000Z,[],250000000.0,19798720.78374066,248940003.28432944,,1867,,,,2022-07-16T22:07:00.000Z,0.013696627648221207,2046.95144943,-1.3124,0.03155298,-0.45759733,-5.27179035,5.48892681,-53.73650606,-77.68651766,271175.70648599416,0.0,3424156.91,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b1a8f210ec6b7b6643cea3583fb0c079f367898
1867,12115,Orion Money,ORION,orion-money,22,2021-09-24T01:47:22.000Z,['polkastarter'],1000000000.0,95000672.55855624,1000000000.0,,1868,,,,2022-07-16T22:06:00.000Z,0.002833452515944087,34234.49406959,64.5862,0.06092963,4.16487955,-2.88828875,-20.74842019,-79.12205741,-98.89190511,269179.8946774216,0.0,2833452.52,,2022-07-16T22:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0x727f064a78dc734d33eec18d5370aef32ffd46e4
1868,2546,Remme,REM,remme,9,2018-02-26T00:00:00.000Z,"['cybersecurity', 'identity']",,999999999.9938,1000000000.0,,1871,,,,2022-07-16T22:07:00.000Z,0.000269062703167993,28688.11135756,40.6981,0.61569802,1.62116491,9.15049021,24.58931939,12.53449826,-35.79942488,269062.7031663248,0.0,269062.7,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x83984d6142934bb535793a82adb0a46ef0f66b6d
1869,2076,Blue Protocol,BLUE,ethereum-blue,3,2017-10-22T00:00:00.000Z,"['platform', 'wallet']",42000000.0,36645278.3876,42000000.0,,1869,,,,2022-07-16T22:07:00.000Z,0.0072974215948147176,0.0,0.0,0.13733011,4.99818771,5.72539237,15.054734,-37.55535666,-66.19031192,267416.0458536693,0.0,306491.71,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x539efe69bcdd21a83efd9122571a64cc25e0282b
1870,11654,VelasPad,VLXPAD,velaspad,19,2021-09-06T05:28:01.000Z,"['launchpad', 'bluezilla']",1000000000.0,13309446.79080043,104701004.22128424,,1870,64200000.0,1288615.6611661338,,2022-07-16T22:06:00.000Z,0.020071895033740402,34320.4808698,-19.9398,0.19805519,-3.79706918,7.54283241,-3.07493957,-24.88079215,-65.19365009,267145.8189420993,0.0,20071895.03,,2022-07-16T22:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0xb8e3bB633F7276cc17735D86154E0ad5ec9928C0
1871,80,Orbitcoin,ORB,orbitcoin,1,2013-12-21T00:00:00.000Z,"['mineable', 'hybrid-pow-pos', 'neoscrypt']",3770000.0,3220616.279225,3220616.279225,,1872,,,,2022-07-16T22:07:00.000Z,0.08280055092114033,0.0,0.0,0.06707468,1.06975002,-1.86744341,14.17167504,12.56972136,-23.85625631,266668.80222542316,0.0,312158.08,,2022-07-16T22:07:00.000Z,,,,,
1872,14996,MEDIA EYE NFT Portal,eYe,media-eye,6,2021-11-22T17:14:44.000Z,[],1000000000.0,92990540.0,1000000000.0,,1873,,,,2022-07-16T22:07:00.000Z,0.0028664789376682057,240769.8454894,-0.8215,0.09410922,-0.60673013,-19.68609194,-6.40797758,-12.51963342,-42.66649861,266555.4243123928,0.0,2866478.94,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x9a257c90fa239fba07771ef7da2d554d148c2e89
1873,3482,Teloscoin,TELOS,teloscoin,6,2018-10-22T00:00:00.000Z,"['mineable', 'masternodes']",,167399820.5959385,167400184.2791735,,1874,,,,2022-07-16T22:06:00.000Z,0.0015863928586259636,32.37790693,-18.0867,0.05696737,7.3074566,-41.36419295,-99.15057582,-42.70114723,-67.20743511,265561.87992866436,0.0,265562.46,,2022-07-16T22:06:00.000Z,,,,,
1874,1019,Manna,MANNA,manna,7,2015-07-27T00:00:00.000Z,[],,661439499.161434,2361417675.292689,,1875,,,,2022-07-16T22:06:00.000Z,0.0004011206317055114,0.0,-100.0,0.0296408,0.75495825,-28.92926421,-8.21749627,-36.66658378,-61.30436718,265317.0297386115,0.0,947213.35,,2022-07-16T22:06:00.000Z,,,,,
1875,2727,Bezant,BZNT,bezant,2,2018-05-11T00:00:00.000Z,[],,878398685.0,999999820.0,,1876,,,,2022-07-16T22:07:00.000Z,0.0003018429873619306,3.42989626,0.0,0.26787019,-7.32841568,3.23144313,16.4417618,-1.27378271,-59.94104229,265138.48317519145,0.0,301842.93,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0xe1aee98495365fc179699c1bb3e761fa716bee62
1876,2644,eosDAC,EOSDAC,eosdac,7,2018-04-17T00:00:00.000Z,[],,660755176.7845,1200000000.0,,1877,,,,2022-07-16T22:07:00.000Z,0.0004002940786272649,14036.84099303,-16.5576,0.00441205,-3.36373019,7.27057287,-26.04043716,-21.43326476,-55.91336575,264496.38468914694,0.0,480352.89,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba
1877,1704,eBoost,EBST,eboostcoin,1,2017-06-06T00:00:00.000Z,[],,99990001.568832,99990001.568832,,1879,,,,2022-07-16T22:06:00.000Z,0.00262275913857753,0.0,0.0,0.17730759,4.1006997,-17.80812269,-5.88124622,-45.98299186,-51.47491195,262249.6903810357,0.0,262249.69,,2022-07-16T22:06:00.000Z,,,,,
1878,2771,RED,RED,red,2,2018-05-23T00:00:00.000Z,['marketplace'],,130000009.3,200000000.0,,1880,,,,2022-07-16T22:07:00.000Z,0.002015221274032822,24480.25647781,5.3932,1.73529868,1.81197245,0.4789881,7.04500994,-8.14692147,-53.88546787,261978.7843658247,0.0,403044.25,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x76960dccd5a1fe799f7c29be9f19ceb4627aeb2f
1879,4826,ZUM TOKEN,ZUM,zum-token,7,2019-10-25T00:00:00.000Z,"['ethereum-ecosystem', 'bnb-chain']",,25614208832.42886,68604208832.42886,,1878,,,,2022-07-16T22:07:00.000Z,1.0226036906008873e-05,0.0,0.0,-0.02987504,3.91160031,1.45734961,31.37285019,-15.71535946,38.19660899,261931.84483863597,0.0,701549.17,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0xe0b9bcd54bf8a730ea5d3f1ffce0885e911a502c
1880,3711,Plair,PLA,plair,2,2019-01-28T00:00:00.000Z,[],,25610108545.0,100000000000.0,,1881,,,,2022-07-16T22:06:00.000Z,1.0215566114910774e-05,1042.14640835,1.3654,-0.07877801,1.3645635,16.75237075,76.08609715,17.49414953,-40.17487936,261621.75705148888,0.0,1021556.61,,2022-07-16T22:06:00.000Z,,,,,
